Fleet code,278,620,877,108,11 fleet,12,13,Fourteen Fleet,nine Fleet,Seedan Fleet,Everest Mumbai-17,Everest Mumbai-18,Everest Mumbai-19,Everest Mumbai-20,Everest Mumbai-21,Everest Mumbai-22,Everest Mumbai-23,Prihans,776,981,816,455,788,DEL-1,DEL-2,DEL-3,Pramod,Everest BLR leasing -2,Everest BLR -3,Everest BLR-4,Everest BLR-5,Everest BLR leasing -3,Everest BLR leasing -4,Everest BLR leasing -5,Everest BLR-7,Everest HYD-1,Everest HYD-2,Hyd leasing -1,Hyd leasing -2,Hyd leasing -3,Hyd leasing -4,Everest HYD-3,Everest HYD-4,Everest HYD-5,Hyd leasing-5,Hyd leasing-6,Pune-1,Pune-2
Fleet name ,['Everest FleetSix (Intercity) (Fleet)'],['Everest Fleet Private Ltd Eight -(Fleet)'],['Everest Fleet Private LtdNine (Fleet)'],['Everest FleetTen (Fleet)'],['Everest FleetEleven'],['Everest FleetTwelve'],['Everest FleetThirteen (Fleet)'],['Everest Fleet Fourteen(Fleet)'],['Everest FleetFifteen (Fleet)'],['Everest FleetSIxteen(Fleet)'],['Everest FleetSeventeen'],['Everest FleetEighteen'],['Everest FleetNineteen'],['Everest FleetTwenty'],['Everest FleetTwenty One'],['Everest FleetTwenty Two (Fleet)'],['Everest FleetTwenty Three'],['EVEREST FLEET PRIVATE LIMITED-'],['Everest Fleet Private LtdTwo (Fleet)'],['Everest Fleet Three(Fleet)'],['Everest Fleet Private LimitedFour (Fleet)'],['Everest Fleet Five(Fleet)'],['Everest Fleet Private LimitedSeven (Fleet)'],['EVEREST FLEETNORTH PRIVATE LIMITED-'],['EVEREST FLEET NORTH PRIVATE LIMITED II-'],['Everest Fleet NorthPrivate Limited III'],['Everest FleetPvt Ltd'],['EVEREST FLEETPRIVATE LIMITED'],['Everest FleetThree'],['EVEREST FLEET PRIVATE LIMITED-'],['Everest FleetPrivate Limted'],['EVEREST FLEET PRIVATE LIMITEDSiddharth A Ladsariya'],['EVEREST FLEET PRIVATE LIMITEDSiddharth A Ladsariya'],['EVERESTPRIVATE LIMITED'],['Everest Fleet Private LimitedSiddharth A Ladsariya'],['Everest FleetPrivate Limited'],['EVEREST FLEET PRIVATE LIMITEDTWO'],['Everest FleetPrivate Limited - Leasing'],['Everest Fleet Pvt LtdLeasing Two'],['EVEREST FLEET PRIVATE LIMITEDLeasing three'],['Everest Fleet Private LimitedLeasing Four'],['EVEREST FLEET PRIVATE LIMITEDTHREE'],['EVEREST FLEET PRIVATE LIMITEDPRIVATE LIMITED FOUR'],['EVEREST FLEET PRIVATE LIMITEDPRIVATE LIMITED FIVE'],['EVEREST FLEET PRIVATE LIMITEDLeasing Five'],['EVEREST FLEET PRIVATE LIMITEDPvt Ltd Leasing Six'],['Everest Fleet Private LimitedPune'],['Everest FleetPune Two']
Paid to you,92198.76999999999,949303.83,462362.77999999997,96744.20000000001,125814.12000000001,44071.0,87836.69,550895.77,441423.58999999997,613971.04,428235.12,528982.12,-586.0400000000001,206066.86,33762.87,892974.4299999999,730298.9700000001,373163.75,339851.00999999995,556557.24,582395.53,352617.66,392108.74000000005,441303.98,611008.5,95572.01999999999,1124514.95,390730.64,31992.469999999998,1058.41,22548.239999999998,988573.0100000001,832796.9500000001,31497.49,35706.100000000006,114757.35000000003,-642.2600000000239,-22757.700000000004,59703.270000000004,100594.24999999999,-24088.85,38099.509999999966,177193.96000000002,4964.139999999999,7601.469999999999,28055.52,419918.05,5747.73
Paid to you : Your earnings,481253.68999999994,3288509.55,1319581.9000000001,372454.26,522388.07999999996,124944.68000000001,369610.93,1373497.45,1150794.67,1444150.48,1031073.7600000001,1343163.47,4663.96,623275.31,166455.59999999998,1471000.7800000003,1313894.3900000001,1121844.33,1126725.0,1292792.4800000002,1373040.73,1202565.7899999998,1286095.42,2085456.6300000001,2114391.8699999996,882716.21,6071464.68,2077323.02,106388.88,38892.84,73089.49,2052392.99,1628863.44,63988.24,148054.18,1809629.77,1574013.2399999998,569821.8,799041.5700000001,513648.11,433011.11,1563966.1099999999,1181860.3399999999,275748.93999999994,266278.37,123403.41999999998,1272659.57,54057.25
Paid to you : Trip balance : Payouts : Cash collected,-412556.0,-2488501.0,-915934.0,-296207.0,-422573.0,-86394.0,-299731.0,-878357.0,-752433.0,-883807.0,-647327.0,-871909.0,-5370.0,-447251.0,-139950.0,-615484.0,-622350.0,-798035.0,-837430.0,-789371.0,-848142.0,-905803.0,-953198.0,-1802522.0799999998,-1662054.13,-853964.8500000001,-5028558.4399999995,-1715724.42,-75246.47,-38199.46,-51615.520000000004,-1087117.3900000001,-813314.3999999999,-33171.5,-113817.20999999999,-1703716.0,-1581520.0,-595170.0,-745025.0,-483971.0,-458109.0,-1532329.0,-1007294.0,-273281.0,-259905.0,-95806.0,-875793.0,-49580.0
Paid to you : Your earnings : Fare,460990.36,3038178.32,1194486.6900000002,375377.4,493148.13,113985.81,372915.03,1086923.3,907136.8,1224518.27,881699.5399999999,1085042.63,4712.3,582274.83,156672.74,769059.01,791542.54,1039283.0400000002,1045421.9,1026621.3300000001,1118334.27,1133280.38,1206140.75,1893410.31,1814015.37,904246.7,5555203.66,1909337.26,94493.43,38264.15,68627.54000000001,1220858.56,936631.8199999998,33088.409999999996,110828.37,1561560.82,1410931.24,513573.69999999995,673060.6699999999,451370.55999999994,406212.30000000005,1410876.64,915794.04,246231.09,232958.9,91829.79000000001,958095.12,53892.04
Paid to you : Your earnings : Taxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paid to you:Your earnings:Taxes:Income tax withholding,-4856.07,-31931.509999999995,-12536.94,-3961.7400000000002,-5200.43,-1196.13,-3915.0,-11449.64,-9512.939999999999,-12794.13,-9269.470000000001,-11439.97,-48.34,-6101.37,-1640.29,-8084.370000000001,-8317.34,-10894.02,-10990.560000000001,-10811.36,-11777.449999999999,-11911.18,-12672.71,-20174.889999999996,-19018.770000000004,-1562.34,-56558.54,-19449.92,-954.8,-390.02,-696.9100000000001,-12495.77,-9579.25,-337.66999999999996,-1129.5099999999998,-15741.86,-14212.29,-5168.59,-6800.77,-4519.91,-4071.33,-14185.65,-9194.71,-2493.46,-2346.5,-925.25,-9834.61,0.0
Paid to you:Your earnings:Fare:Fare,452000.78,2979396.8400000003,1169697.1,368092.33,484627.37,111858.54999999999,365731.38,1065893.78,890199.14,1202671.9300000002,864725.73,1065084.07,4617.870000000001,571196.94,153364.47999999998,755702.61,775418.89,1019442.56,1026973.1099999999,1008069.86,1099321.09,1110865.65,1182987.47,1798890.0899999999,1725080.44,858105.37,5230640.0,1793261.52,87930.31999999999,35683.96,64493.71000000001,1148567.52,882760.1600000001,30453.5,103197.17,1455400.8900000001,1307351.04,478030.52,631686.4199999999,421057.0,379474.01,1314431.62,849062.8899999999,231606.69,219869.21999999997,85759.82,943014.7100000001,52537.8
Paid to you:Your earnings:Fare:Wait Time at Pick-up,6154.73,40154.35,16858.61,5045.02,6571.15,1560.83,5215.91,16033.269999999999,12475.5,15179.189999999999,12199.240000000002,14675.250000000002,54.0,8659.24,1919.63,11120.51,11329.779999999999,14522.95,14860.39,13860.49,14562.34,15377.519999999999,16444.64,10113.279999999999,9811.990000000002,5606.719999999999,436.73999999999995,132.20999999999998,0.0,0.0,0.0,58.28,135.9,0.0,38.02,9033.929999999998,8542.08,3280.1,3660.7599999999998,3297.02,2444.68,8232.04,5239.1900000000005,1346.48,1670.3700000000001,577.81,5804.549999999999,330.93999999999994
Paid to you:Trip balance:Refunds:Toll,23501.08,149295.27999999997,58714.880000000005,20496.940000000002,25999.04,5520.32,17956.760000000002,55755.32000000001,43061.92,53627.55999999999,44488.36,57727.649999999994,120.0,30022.55,7257.2699999999995,37457.649999999994,38754.58,49354.42,50556.009999999995,53135.76,57496.799999999996,55854.869999999995,59211.32,158369.43,158670.76,66820.66,81608.71,28932.04,850.06,365.03,1074.27,23297.410000000003,17247.91,680.75,1469.13,8843.580000000002,6864.5,2590.5,5686.700000000001,917.14,1009.04,6462.4,2627.62,2496.2,1228.1,458.1,23051.480000000003,1270.48
